Frame,Step_1_Model_Output,Step_3_Threshold,Step_4_Comparison,Step_5_Decision,Confidence_Score,Confidence_Level,Math_Explanation
frame_0018.png,0.535899194,0.5,0.5359 >= 0.5,Diseased,0.07179838799999994,Low (<40%),Model Output: 0.5359 → Compare with 0.5 → Diseased (Confidence: 7.2%)
frame_0019.png,0.380927568,0.5,0.3809 < 0.5,Normal,0.238144864,Low (<40%),Model Output: 0.3809 → Compare with 0.5 → Normal (Confidence: 23.8%)
frame_0020.png,0.438658817,0.5,0.4387 < 0.5,Normal,0.12268236600000004,Low (<40%),Model Output: 0.4387 → Compare with 0.5 → Normal (Confidence: 12.3%)
frame_0021.png,0.466498706,0.5,0.4665 < 0.5,Normal,0.06700258800000003,Low (<40%),Model Output: 0.4665 → Compare with 0.5 → Normal (Confidence: 6.7%)
frame_0022.png,0.437905381,0.5,0.4379 < 0.5,Normal,0.12418923800000004,Low (<40%),Model Output: 0.4379 → Compare with 0.5 → Normal (Confidence: 12.4%)
frame_0023.png,0.423250414,0.5,0.4233 < 0.5,Normal,0.15349917199999996,Low (<40%),Model Output: 0.4233 → Compare with 0.5 → Normal (Confidence: 15.3%)
frame_0024.png,0.366618978,0.5,0.3666 < 0.5,Normal,0.26676204400000003,Low (<40%),Model Output: 0.3666 → Compare with 0.5 → Normal (Confidence: 26.7%)
frame_0025.png,0.424142556,0.5,0.4241 < 0.5,Normal,0.151714888,Low (<40%),Model Output: 0.4241 → Compare with 0.5 → Normal (Confidence: 15.2%)
frame_0026.png,0.492266959,0.5,0.4923 < 0.5,Normal,0.015466081999999992,Low (<40%),Model Output: 0.4923 → Compare with 0.5 → Normal (Confidence: 1.5%)
frame_0027.png,0.426516541,0.5,0.4265 < 0.5,Normal,0.14696691799999995,Low (<40%),Model Output: 0.4265 → Compare with 0.5 → Normal (Confidence: 14.7%)
frame_0028.png,0.421119423,0.5,0.4211 < 0.5,Normal,0.15776115400000001,Low (<40%),Model Output: 0.4211 → Compare with 0.5 → Normal (Confidence: 15.8%)
frame_0029.png,0.40913833,0.5,0.4091 < 0.5,Normal,0.18172334,Low (<40%),Model Output: 0.4091 → Compare with 0.5 → Normal (Confidence: 18.2%)
frame_0030.png,0.403128141,0.5,0.4031 < 0.5,Normal,0.193743718,Low (<40%),Model Output: 0.4031 → Compare with 0.5 → Normal (Confidence: 19.4%)
frame_0031.png,0.477744455,0.5,0.4777 < 0.5,Normal,0.044511089999999975,Low (<40%),Model Output: 0.4777 → Compare with 0.5 → Normal (Confidence: 4.5%)
frame_0032.png,0.500802021,0.5,0.5008 >= 0.5,Diseased,0.0016040420000000832,Low (<40%),Model Output: 0.5008 → Compare with 0.5 → Diseased (Confidence: 0.2%)
frame_0033.png,0.445889812,0.5,0.4459 < 0.5,Normal,0.10822037600000001,Low (<40%),Model Output: 0.4459 → Compare with 0.5 → Normal (Confidence: 10.8%)
frame_0034.png,0.371857846,0.5,0.3719 < 0.5,Normal,0.256284308,Low (<40%),Model Output: 0.3719 → Compare with 0.5 → Normal (Confidence: 25.6%)
frame_0035.png,0.39009255,0.5,0.3901 < 0.5,Normal,0.21981490000000004,Low (<40%),Model Output: 0.3901 → Compare with 0.5 → Normal (Confidence: 22.0%)
frame_0036.png,0.446057107,0.5,0.4461 < 0.5,Normal,0.10788578599999998,Low (<40%),Model Output: 0.4461 → Compare with 0.5 → Normal (Confidence: 10.8%)
frame_0037.png,0.432932489,0.5,0.4329 < 0.5,Normal,0.13413502200000005,Low (<40%),Model Output: 0.4329 → Compare with 0.5 → Normal (Confidence: 13.4%)
frame_0038.png,0.449294245,0.5,0.4493 < 0.5,Normal,0.10141151000000004,Low (<40%),Model Output: 0.4493 → Compare with 0.5 → Normal (Confidence: 10.1%)
frame_0039.png,0.443563189,0.5,0.4436 < 0.5,Normal,0.11287362199999995,Low (<40%),Model Output: 0.4436 → Compare with 0.5 → Normal (Confidence: 11.3%)
frame_0040.png,0.42890956,0.5,0.4289 < 0.5,Normal,0.14218087999999995,Low (<40%),Model Output: 0.4289 → Compare with 0.5 → Normal (Confidence: 14.2%)
frame_0041.png,0.496645857,0.5,0.4966 < 0.5,Normal,0.006708285999999952,Low (<40%),Model Output: 0.4966 → Compare with 0.5 → Normal (Confidence: 0.7%)
frame_0042.png,0.478378961,0.5,0.4784 < 0.5,Normal,0.04324207800000002,Low (<40%),Model Output: 0.4784 → Compare with 0.5 → Normal (Confidence: 4.3%)
frame_0043.png,0.494844447,0.5,0.4948 < 0.5,Normal,0.010311105999999959,Low (<40%),Model Output: 0.4948 → Compare with 0.5 → Normal (Confidence: 1.0%)
frame_0044.png,0.374617079,0.5,0.3746 < 0.5,Normal,0.25076584199999996,Low (<40%),Model Output: 0.3746 → Compare with 0.5 → Normal (Confidence: 25.1%)
frame_0045.png,0.376782771,0.5,0.3768 < 0.5,Normal,0.24643445799999997,Low (<40%),Model Output: 0.3768 → Compare with 0.5 → Normal (Confidence: 24.6%)
frame_0046.png,0.353416948,0.5,0.3534 < 0.5,Normal,0.293166104,Low (<40%),Model Output: 0.3534 → Compare with 0.5 → Normal (Confidence: 29.3%)
frame_0047.png,0.439003566,0.5,0.4390 < 0.5,Normal,0.12199286799999998,Low (<40%),Model Output: 0.4390 → Compare with 0.5 → Normal (Confidence: 12.2%)
